,price,price_meter,surface,rooms,floor,max_floors,market,building_type,year_of_construction,lat,lon,rent
62,409275,8500,48.15,2,1,2,primary,apartment building,2008,52.2110024,21.0686946000001,500
63,534623,8900,60.07,3,2,2,primary,apartment building,2007,52.2110024,21.0686946000001,590
64,1037088,9966.25,104.06,5,2,2,primary,apartment building,2001,52.2110024,21.0686946000001,390
65,512000,7180.93,71.3,4,4,8,primary,block of flats,2018,52.2333751,20.9571835,450
66,264600,7579.49,34.91,2,1,4,primary,apartment building,1954,52.2333751,20.9571835,590
67,410000,7506.41,54.62,2,2,9,primary,block of flats,2017,52.2333751,20.9571835,650
68,475000,8189.66,58,3,4,4,secondary,apartment building,2010,52.2833437,21.030006,804
69,470000,7460.32,63,3,3,4,secondary,block of flats,2000,52.2092102,21.1924415999999,600
70,520000,7599.01,68.43,3,2,5,secondary,block of flats,2005,52.28984,21.05244,520
71,693200,8629.4,80.33,4,6,6,primary,apartment building,2008,52.2814057,20.9292284000001,348
72,211500,8274.65,25.56,1,3,6,primary,apartment building,2006,52.2814057,20.9292284000001,450
73,465000,6981.98,66.6,3,1,3,secondary,block of flats,1978,52.1576532,21.0222329,770
74,643000,9359.53,68.7,3,1,3,secondary,block of flats,2014,52.247068,20.9272905,574
75,407700,7876.74,51.76,2,6,10,primary,apartment building,2006,52.2814057,20.9292284000001,780
76,760000,14074.07,54,2,7,10,primary,apartment building,2016,52.2240730880168,20.9360307534423,370
77,380000,6909.09,55,3,3,4,secondary,block of flats,2007,52.2225577,21.23775,300
78,261836,6700,39.08,1,4,4,primary,apartment building,2018,52.2935576335266,21.0354423362141,850
79,350000,11666.67,30,2,2,3,secondary,apartment building,1975,52.2330149,21.0238717,800
80,547800,9284.75,59,2,2,10,secondary,block of flats,2000,52.2111886,21.0473159,600
81,550800,8473.85,65,3,1,3,secondary,block of flats,2017,52.2111953,20.9627275,916
82,466000,11948.72,39,2,1,4,secondary,apartment building,2002,52.2515068,20.9942437,700
83,790000,9753.09,81,2,1,2,secondary,apartment building,2011,52.228361,21.0124691,470
84,515000,15147.06,34,1,2,4,secondary,block of flats,1981,52.2203547,21.0250007,490
85,340000,8039.73,42.29,1,3,7,secondary,apartment building,1973,52.202671,20.9508626,1300
86,870000,11240.31,77.4,3,1,4,secondary,block of flats,1980,52.2206259,20.9895294,900
87,550000,9938.56,55.34,2,2,4,secondary,apartment building,2019,52.1927776,20.9753144,1000
88,680000,8395.06,81,3,6,8,secondary,apartment building,2017,52.2103359,20.9712206,570
89,579000,10069.57,57.5,3,1,4,secondary,apartment building,1954,52.2052874,20.9474275,500
90,395000,6370.97,62,2,2,3,secondary,apartment building,2018,52.1830039,20.9701082,650
91,869000,8355.77,104,4,4,4,secondary,terraced house,1987,52.2189106,20.9976972,950
92,350000,9408.6,37.2,2,4,4,secondary,block of flats,1935,52.1927776,20.9753144,400
93,299000,7292.68,41,2,3,4,secondary,apartment building,2011,52.1857483,20.9718313,500
94,289000,7810.81,37,2,2,3,secondary,apartment building,1974,52.1935787,20.9411611,680
95,330000,8461.54,39,2,3,3,secondary,apartment building,1985,52.2083838,20.9704591,900
96,459000,8138.3,56.4,2,6,8,secondary,apartment building,2016,52.2052874,20.9474275,795
97,310000,8310.99,37.3,1,3,3,secondary,tenement house,1965,52.2140805,20.9741655,450
98,316000,8819.43,35.83,2,4,4,secondary,block of flats,2000,52.2067614,20.9690177,788
99,740000,8809.52,84,3,3,5,secondary,block of flats,1979,52.2228513,21.007506,550
100,329000,8891.89,37,2,10,16,secondary,apartment building,1999,52.2112358,20.9764535,447
101,339000,7533.33,45,3,10,14,secondary,apartment building,1965,52.2112358,20.9764535,630
